,source,name,start_datetime,stop_datetime,address,lat,lon,description,classification,temperatureMin,temperatureMax,narrative,precipType,precipChance,qpfSnow,snowRange,relativeHumidity,thunderCategory,temperatureHeatIndex,uvDescription,windSpeed,starting_lat,starting_lon,gc_distance_miles,est_drivetime_hours,event_type,start_date
0,Trail,Linville Gorge Wilderness Loop,2020-11-19 13:28:51.435093164,2020-11-19 13:28:51.453086138,"Glen Alpine, North Carolina",35.8241,-81.8894,"A challenging and exciting backcountry loop hike around ""The Grand Canyon of North Carolina.""",,33, 56, 'Sunny. Highs in the mid 50s and lows in the low 30s.', 'rain', 0, 0.0, 43, 'No thunder', 55, 'Moderate', 4,,33.827554,-84.32355,206.95712059502975,3.4492853432504957,Hiking,11/19/2020
1,Trail,Alum Cave - Cliff Top Out and Back,2020-11-19 13:28:51.472882509,2020-11-19 13:28:51.474499702,"Gatlinburg, Tennessee",35.6295,-83.4515,"A classic hike in the smokies with excellent views, log bridges, and a giant bluff.",,33, 55, 'Sunny. Highs in the mid 50s and lows in the low 30s.', 'rain', 0, 0.0, 38, 'No thunder', 53, 'Moderate', 4,,33.827554,-84.32355,136.2778580776121,2.2712976346268685,Hiking,11/19/2020
2,Trail,Charlies Bunion Out and Back,2020-11-19 13:28:51.482773304,2020-11-19 13:28:51.482773304,"Gatlinburg, Tennessee",35.6109,-83.425,A trail from Newfound Gap to Charlie's Bunion along the Appalachian Trail (AT).,,30, 53, 'Mainly sunny. Highs in the low 50s and lows in the low 30s.', 'rain', 0, 0.0, 38, 'No thunder', 51, 'Moderate', 4,,33.827554,-84.32355,135.808742462234,2.2634790410372334,Hiking,11/19/2020
3,Trail,Chimney Tops Trail,2020-11-19 13:28:51.490507841,2020-11-19 13:28:51.491500139,"Gatlinburg, Tennessee",35.6354,-83.4698,A great out and back hike on a steep two mile trail with unbelievable views.,,33, 55, 'Sunny. Highs in the mid 50s and lows in the low 30s.', 'rain', 0, 0.0, 38, 'No thunder', 53, 'Moderate', 4,,33.827554,-84.32355,136.1818673702829,2.2696977895047152,Hiking,11/19/2020
4,Trail,Mount Mitchell - Black Mountain Crest Trail #179,2020-11-19 13:28:51.503447294,2020-11-19 13:28:51.503447294,"Burnsville, North Carolina",35.8772,-82.2846,"The highest, most airy ridge traverse in the east and a destination hike not to be taken lightly.",,34, 58, 'Mainly sunny. Highs in the upper 50s and lows in the mid 30s.', 'rain', 0, 0.0, 41, 'No thunder', 56, 'Moderate', 5,,33.827554,-84.32355,191.6606664993065,3.1943444416551086,Hiking,11/19/2020
5,Trail,Abrams Falls Out and Back,2020-11-19 13:28:51.515535831,2020-11-19 13:28:51.516711473,"Maryville, Tennessee",35.5913,-83.8524,A great hike to Abrams Falls that the whole family will enjoy!,,34, 61, 'Abundant sunshine. Highs in the low 60s and lows in the mid 30s.', 'rain', 0, 0.0, 42, 'No thunder', 60, 'Moderate', 3,,33.827554,-84.32355,125.49625226310881,2.091604204385147,Hiking,11/19/2020
6,Trail,Ramsey Cascades Trail,2020-11-19 13:28:51.543513536,2020-11-19 13:28:51.546644211,"Gatlinburg, Tennessee",35.7027,-83.3575,"A sweet out and back hike with old-growth forest, cascading streams, and a beautiful waterfall.",,36, 56, 'Sunny. Highs in the mid 50s and lows in the mid 30s.', 'rain', 0, 0.0, 35, 'No thunder', 54, 'Moderate', 3,,33.827554,-84.32355,143.34375653305543,2.3890626088842573,Hiking,11/19/2020
7,Trail,Art Loeb Trail,2020-11-19 13:28:51.584354162,2020-11-19 13:28:51.585355759,"Brevard, North Carolina",35.2819,-82.7205,One of the longest and more difficult trails in NC; this also ranks as one of the most popular.,,35, 56, 'Abundant sunshine. Highs in the mid 50s and lows in the mid 30s.', 'rain', 0, 0.0, 41, 'No thunder', 55, 'Moderate', 6,,33.827554,-84.32355,143.37444824540717,2.3895741374234527,Hiking,11/19/2020
8,Trail,Mt. Sterling Loop (Big Creek / Baxter Creek),2020-11-19 13:28:51.619161129,2020-11-19 13:28:51.619161129,"Cove Creek, North Carolina",35.754,-83.108,A three-day journey or long day hike along two large creeks leading to splendid panoramic views from a fire tower.,,41, 67, 'Sunshine. Highs in the upper 60s and lows in the low 40s.', 'rain', 0, 0.0, 37, 'No thunder', 65, 'Moderate', 3,,33.827554,-84.32355,153.82995841767843,2.5638326402946405,Hiking,11/19/2020
9,Trail,Andrews Bald Out and Back,2020-11-19 13:28:51.650638103,2020-11-19 13:28:51.651635170,"Bryson City, North Carolina",35.557,-83.4962,A popular hike to a Smokies bald with great views and wildflowers in June or July.,,25, 49, 'Sunny. Highs in the upper 40s and lows in the mid 20s.', 'rain', 0, 0.0, 39, 'No thunder', 47, 'Moderate', 4,,33.827554,-84.32355,130.56588922740798,2.176098153790133,Hiking,11/19/2020
10,Trail,Rainbow Falls,2020-11-19 13:28:51.687875986,2020-11-19 13:28:51.688881874,"Gatlinburg, Tennessee",35.6757,-83.4857,A gradual hike to the tallest single drop waterfall in the Smokey Mountains.,,40, 65, 'Sunny. Highs in the mid 60s and lows in the low 40s.', 'rain', 0, 0.0, 41, 'No thunder', 64, 'Moderate', 2,,33.827554,-84.32355,138.33937867189823,2.305656311198304,Hiking,11/19/2020
11,Trail,Grotto Falls,2020-11-19 13:28:51.722371817,2020-11-19 13:28:51.722371817,"Gatlinburg, Tennessee",35.6803,-83.4627,One of the few waterfalls you can hike behind in the Smokies.,,40, 64, 'Sunshine. Highs in the mid 60s and lows in the low 40s.', 'rain', 0, 0.0, 39, 'No thunder', 63, 'Moderate', 2,,33.827554,-84.32355,139.19845931814817,2.319974321969136,Hiking,11/19/2020
12,Trail,Walls of Jericho,2020-11-19 13:28:51.749230385,2020-11-19 13:28:51.750276566,"Hytop, Alabama",34.9768,-86.0809,Amazing limestone features.,,41, 62, 'Sunshine. Highs in the low 60s and lows in the low 40s.', 'rain', 0, 0.0, 35, 'No thunder', 60, 'Moderate', 9,,33.827554,-84.32355,137.71970528237145,2.2953284213728575,Hiking,11/19/2020
13,Trail,Fiery Gizzard,2020-11-19 13:28:51.775043011,2020-11-19 13:28:51.776100159,"Tracy City, Tennessee",35.1824,-85.6739,"A strenuous, 12.5 mile, one-way trail that is considered one of the top 25 trails in the US.",,36, 59, 'Sunny. Highs in the upper 50s and lows in the mid 30s.', 'rain', 0, 0.0, 37, 'No thunder', 58, 'Moderate', 7,,33.827554,-84.32355,127.28716719378289,2.121452786563048,Hiking,11/19/2020
